SetID_Clean,SetID_Klicky,Nom du Set,Annee_Debut,Annee_Fin,Image_URL,Lien_Fiche,Version
0104,0104-sch,Super Deluxe Set (Pirate Series) (1979 > n/a),1979,,https://www.klickypedia.com/wp-content/uploads/2015/08/0104schaper-cat-sales-01-100x65.jpg,https://www.klickypedia.com/sets/0104-sch-super-deluxe-set-pirate-series/,Version Unique
1001,1001s2,Bear on Skis (2023 > n/a),2023,,https://www.klickypedia.com/wp-content/uploads/2023/03/Animateur-de-ski--100x65.jpg,https://www.klickypedia.com/sets/1001-kids-ski-teacher/,V1
1001,1001s1-lyr,Construction worker (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2025/06/1001-100x65.jpg,https://www.klickypedia.com/sets/1001-lyr-construction-worker/,V2
1002,1002v1-sch,Cowboy Deluxe Set (1980 > n/a),1980,,https://www.klickypedia.com/wp-content/uploads/2017/11/sch-1002v1-RPS-100x65.jpg,https://www.klickypedia.com/sets/1002v1-sch-cowboy-deluxe-set/,V1
1002,1002,Extension for Western Fort (2022 > n/a),2022,,https://www.klickypedia.com/wp-content/uploads/2022/01/Erweiterung-fur-Westernfort-3-100x65.jpg,https://www.klickypedia.com/sets/1002-extension-for-western-fort/,V2
1002,1002v2-sch,Cowboy Deluxe Set (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2015/08/1002-f-1980-100x65.jpg,https://www.klickypedia.com/sets/1002-sch-cowboy-deluxe-set/,V3
1003,1003-sch,Cowboy Special Deluxe Set (1980 > n/a),1980,,https://www.klickypedia.com/wp-content/uploads/2017/11/sch-1003-RP-100x65.jpg,https://www.klickypedia.com/sets/1003-sch-cowboy-special-deluxe-set/,V1
1003,1003,Sheriff (2022 > n/a),2022,,https://www.klickypedia.com/wp-content/uploads/2022/01/Sheriff-100x65.jpg,https://www.klickypedia.com/sets/1003-sheriff/,V2
1004,1004-sch,Cowboy Super Deluxe Set (1980 > n/a),1980,,https://www.klickypedia.com/wp-content/uploads/2014/11/1004-100x65.jpg,https://www.klickypedia.com/sets/1004-sch-cowboy-super-deluxe-set/,V1
1004,1004,Flying Carpet (2023 > n/a),2023,,https://www.klickypedia.com/wp-content/uploads/2023/02/1004-100x65.jpg,https://www.klickypedia.com/sets/1004-gre-magic-carpet/,V2
1009,1009s2,Football Team 2 (2023 > n/a),2023,,https://www.klickypedia.com/wp-content/uploads/2023/03/52578266690_ed20907a5a_o-100x65.jpeg,https://www.klickypedia.com/sets/1009s2-football-team-2/,V1
1009,1009s1-lyr,Policeman (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2016/08/1009-100x65.jpg,https://www.klickypedia.com/sets/1009-lyr-policeman/,V2
1010,1010s2,Football Fans 1 (2023 > n/a),2023,,https://www.klickypedia.com/wp-content/uploads/2023/02/1010-100x65.jpg,https://www.klickypedia.com/sets/1010s2-football-fans-1/,V1
1010,1010s1-lyr,Policeman with Horse (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2016/08/1010-100x65.jpg,https://www.klickypedia.com/sets/1010-lyr-policeman-with-horse/,V2
1011,1011,Football Fans 2 (2023 > n/a),2023,,https://www.klickypedia.com/wp-content/uploads/2023/03/52577363167_224ebb338e_o-100x65.jpeg,https://www.klickypedia.com/sets/1011-football-fans-2/,V1
1011,1011s1-lyr,Cameraman (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2016/08/1011-100x65.jpg,https://www.klickypedia.com/sets/1011-lyr-cameraman/,V2
1012,1012s2,Football Cheerleaders 1 (2023 > n/a),2023,,https://www.klickypedia.com/wp-content/uploads/2023/02/1012-1-100x65.jpg,https://www.klickypedia.com/sets/1012s2-football-cheerleaders-1/,V1
1012,1012s1-lyr,Tennis Player (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2016/08/1012-100x65.jpg,https://www.klickypedia.com/sets/1012-lyr-tennis-player/,V2
1013,1013s1-lyr,Astronaut (1977 > n/a),1977,,https://www.klickypedia.com/wp-content/uploads/2016/04/s-l225-100x65.jpg,https://www.klickypedia.com/sets/1013-lyr-astronaut/,V1
1013,1013s2,Football Cheerleaders 2 (2023 > n/a),2023,,https://www.klickypedia.com/wp-content/uploads/2023/03/52578100939_79aa36a64d_o-100x65.jpeg,https://www.klickypedia.com/sets/1013s2-football-cheerleaders-2/,V2
1014,1014-lyr,Two children (n/a > n/a),,,https://www.klickypedia.com/wp-content/themes/Newspaper/images/no-thumb/art-thumb.png,https://www.klickypedia.com/sets/1014-lyr-two-children/,Version Unique
1015,1015-lyr,First Aid Doctor (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2016/08/1015-100x65.jpg,https://www.klickypedia.com/sets/1015-lyr-first-aid-doctor/,Version Unique
1016,1016-lyr,Fireman (1978 > 1985),1978,1985,https://www.klickypedia.com/wp-content/uploads/2016/01/image5-100x65.jpeg,https://www.klickypedia.com/sets/1016-lyr-fireman/,Version Unique
1017,1017-lyr,German Knight (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2018/12/lyr-1017-RP-CP391-100x65.jpg,https://www.klickypedia.com/sets/1017-lyr-german-knight/,Version Unique
1018,1018-lyr,Horseman (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2018/12/1018-RP-CP391-100x65.jpg,https://www.klickypedia.com/sets/1018-lyr-horseman/,Version Unique
1019,1019,Woman with umbrella (n/a > n/a),,,https://www.klickypedia.com/wp-content/themes/Newspaper/images/no-thumb/art-thumb.png,https://www.klickypedia.com/sets/1019-woman-with-umbrella/,Version Unique
1021,1021-lyr,Clown musician (1978 > n/a),1978,,https://www.klickypedia.com/wp-content/uploads/2014/11/1021lyra_-100x65.jpg,https://www.klickypedia.com/sets/1021-lyr-clown/,V1
1021,1021,Windmill (2022 > n/a),2022,,https://www.klickypedia.com/wp-content/uploads/2022/01/Windrad-100x65.jpg,https://www.klickypedia.com/sets/1021-windmill/,V2
1022,1022,Water Tower (2022 > n/a),2022,,https://www.klickypedia.com/wp-content/uploads/2022/01/Wasserturm-100x65.jpg,https://www.klickypedia.com/sets/1022-water-tower/,V1
1022,1022-lyr,Indian (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2016/04/1022-100x65.jpg,https://www.klickypedia.com/sets/1022-lyr-indian/,V2
1023,1023,Bandit Hideaway (2022 > n/a),2022,,https://www.klickypedia.com/wp-content/uploads/2022/01/Banditenversteck-100x65.jpg,https://www.klickypedia.com/sets/1023-bandit-hideaway/,Version Unique
1024,1024,Indian Children at the River (2021 > n/a),2021,,https://www.klickypedia.com/wp-content/uploads/2022/01/Indianerkinder-am-Fluss-100x65.jpg,https://www.klickypedia.com/sets/1024-indian-children-at-the-river/,V1
1024,1024-lyr,Indian Chief with horse (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2016/03/s-l225-100x65.jpg,https://www.klickypedia.com/sets/1024-lyr-indian-chief-with-horse/,V2
1025,1025s2,Bakery (2022 > n/a),2022,,https://www.klickypedia.com/wp-content/uploads/2022/10/1025-1-100x65.jpg,https://www.klickypedia.com/sets/1025s2-bakery/,V1
1025,1025s1-lyr,US rider with flag (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2017/12/1025-lyra-100x65.jpg,https://www.klickypedia.com/sets/1025-lyr-nordist-soldier-with-horse/,V2
1026,1026s1-lyr,Cowboy with Horse (1978 > n/a),1978,,https://www.klickypedia.com/wp-content/uploads/2016/05/1026b-100x65.jpg,https://www.klickypedia.com/sets/1026-lyr-cowboy-with-horse/,V1
1026,1026s2,Baby Store (2022 > n/a),2022,,https://www.klickypedia.com/wp-content/uploads/2022/10/1026-100x65.jpg,https://www.klickypedia.com/sets/1026-baby-store/,V2
1027,1027s1-lyr,Mexican with horse (1978 > 1985),1978,1985,https://www.klickypedia.com/wp-content/uploads/2016/01/image17-100x65.jpeg,https://www.klickypedia.com/sets/1027-lyr-mexican-with-horse/,V1
1027,1027s2,Furniture City House (2022 > n/a),2022,,https://www.klickypedia.com/wp-content/uploads/2022/10/1027-100x65.jpg,https://www.klickypedia.com/sets/1027s2-furniture-city-house/,V2
1028,1028-lyr,Indian with horse (1978 > 1985),1978,1985,https://www.klickypedia.com/wp-content/uploads/2016/01/image20-100x65.jpeg,https://www.klickypedia.com/sets/1028-lyr-indian-with-horse/,V1
1028,1028,Office equipment (2022 > n/a),2022,,https://www.klickypedia.com/wp-content/uploads/2022/04/1028-100x65.jpeg,https://www.klickypedia.com/sets/1028-office-equipment/,V2
1029,1029,Street football player (2022 > n/a),2022,,https://www.klickypedia.com/wp-content/uploads/2022/01/51770003226_a51162db5b_o-3-100x65.jpg,https://www.klickypedia.com/sets/1029-street-football-player-2/,V1
1029,1029,Street football player (2023 > n/a),2023,,https://www.klickypedia.com/wp-content/uploads/2022/01/51770003226_a51162db5b_o-100x65.jpg,https://www.klickypedia.com/sets/1029-street-football-player/,V2
1029,1029-lyr,Bandit (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2016/05/1029b-100x65.jpg,https://www.klickypedia.com/sets/1029-lyr-bandit/,V3
1030,1030,Basketball Game (2022 > n/a),2022,,https://www.klickypedia.com/wp-content/uploads/2022/01/51770884935_411ecea34e_o-100x65.jpg,https://www.klickypedia.com/sets/1030-basketball-game/,Version Unique
1031,1031s1,Stable Extension (2024 > n/a),2024,,https://www.klickypedia.com/wp-content/uploads/2024/01/1031-100x65.jpg,https://www.klickypedia.com/sets/1031s1-stable-extension/,V1
1031,1031-lyr,Sheriff with Horse (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2016/05/1031b-100x65.jpg,https://www.klickypedia.com/sets/1031-lyr-sheriff-with-horse/,V2
1032,1032,Art Class (2024 > n/a),2024,,https://www.klickypedia.com/wp-content/uploads/2024/03/Capture-decran-2024-03-12-204725-100x65.jpg,https://www.klickypedia.com/sets/1032-art-class/,V1
1032,1032-lyr,Royal Horseman (n/a > n/a),,,https://www.klickypedia.com/wp-content/uploads/2014/11/1032-100x65.jpg,https://www.klickypedia.com/sets/1032-lyr-royal-horseman/,V2
1102,1102v1-sch,Indian Deluxe Set (1980 > n/a),1980,,https://www.klickypedia.com/wp-content/uploads/2017/12/sch-1102v1-RP-hors-CP-100x65.jpg,https://www.klickypedia.com/sets/1102-sch-indian-deluxe-set/,V1
